Date,Value
"Feb 27, 2025",36.93
"Jan 1, 2025",37.66
"Jan 1, 2024",31.97
"Jan 1, 2023",28.34
"Jan 1, 2022",36.94
"Jan 1, 2021",34.51
"Jan 1, 2020",30.99
"Jan 1, 2019",28.38
"Jan 1, 2018",33.31
"Jan 1, 2017",28.06
"Jan 1, 2016",24.21
"Jan 1, 2015",26.49
"Jan 1, 2014",24.86
"Jan 1, 2013",21.9
"Jan 1, 2012",21.21
"Jan 1, 2011",22.98
"Jan 1, 2010",20.53
"Jan 1, 2009",15.17
"Jan 1, 2008",24.02
"Jan 1, 2007",27.21
"Jan 1, 2006",26.47
"Jan 1, 2005",26.59
"Jan 1, 2004",27.66
"Jan 1, 2003",22.9
"Jan 1, 2002",30.28
"Jan 1, 2001",36.98
"Jan 1, 2000",43.77
"Jan 1, 1999",40.57
"Jan 1, 1998",32.86
"Jan 1, 1997",28.33
"Jan 1, 1996",24.76
"Jan 1, 1995",20.22
"Jan 1, 1994",21.41
"Jan 1, 1993",20.32
"Jan 1, 1992",19.77
"Jan 1, 1991",15.61
"Jan 1, 1990",17.05
"Jan 1, 1989",15.09
"Jan 1, 1988",13.9
"Jan 1, 1987",14.92
"Jan 1, 1986",11.72
"Jan 1, 1985",10.0
"Jan 1, 1984",9.89
"Jan 1, 1983",8.76
"Jan 1, 1982",7.39
"Jan 1, 1981",9.26
"Jan 1, 1980",8.85
"Jan 1, 1979",9.26
"Jan 1, 1978",9.24
"Jan 1, 1977",11.44
"Jan 1, 1976",11.19
"Jan 1, 1975",8.92
"Jan 1, 1974",13.53
"Jan 1, 1973",18.71
"Jan 1, 1972",17.26
"Jan 1, 1971",16.46
"Jan 1, 1970",17.09
"Jan 1, 1969",21.19
"Jan 1, 1968",21.51
"Jan 1, 1967",20.43
"Jan 1, 1966",24.06
"Jan 1, 1965",23.27
"Jan 1, 1964",21.63
"Jan 1, 1963",19.26
"Jan 1, 1962",21.2
"Jan 1, 1961",18.47
"Jan 1, 1960",18.34
"Jan 1, 1959",17.98
"Jan 1, 1958",13.79
"Jan 1, 1957",16.72
"Jan 1, 1956",18.29
"Jan 1, 1955",15.99
"Jan 1, 1954",12.0
"Jan 1, 1953",13.01
"Jan 1, 1952",12.53
"Jan 1, 1951",11.9
"Jan 1, 1950",10.75
"Jan 1, 1949",10.25
"Jan 1, 1948",10.42
"Jan 1, 1947",11.47
"Jan 1, 1946",15.62
"Jan 1, 1945",11.96
"Jan 1, 1944",11.05
"Jan 1, 1943",10.15
"Jan 1, 1942",10.1
"Jan 1, 1941",13.9
"Jan 1, 1940",16.38
"Jan 1, 1939",15.6
"Jan 1, 1938",13.51
"Jan 1, 1937",21.62
"Jan 1, 1936",17.09
"Jan 1, 1935",11.5
"Jan 1, 1934",13.03
"Jan 1, 1933",8.73
"Jan 1, 1932",9.31
"Jan 1, 1931",16.71
"Jan 1, 1930",22.31
"Jan 1, 1929",27.08
"Jan 1, 1928",18.81
"Jan 1, 1927",13.19
"Jan 1, 1926",11.34
"Jan 1, 1925",9.69
"Jan 1, 1924",8.07
"Jan 1, 1923",8.15
"Jan 1, 1922",6.29
"Jan 1, 1921",5.12
"Jan 1, 1920",5.99
"Jan 1, 1919",6.1
"Jan 1, 1918",6.64
"Jan 1, 1917",10.99
"Jan 1, 1916",12.54
"Jan 1, 1915",10.36
"Jan 1, 1914",11.64
"Jan 1, 1913",13.15
"Jan 1, 1912",13.8
"Jan 1, 1911",14.05
"Jan 1, 1910",14.54
"Jan 1, 1909",14.77
"Jan 1, 1908",11.9
"Jan 1, 1907",17.22
"Jan 1, 1906",20.13
"Jan 1, 1905",18.46
"Jan 1, 1904",15.86
"Jan 1, 1903",20.32
"Jan 1, 1902",22.34
"Jan 1, 1901",20.97
"Jan 1, 1900",18.67
"Jan 1, 1899",22.92
"Jan 1, 1898",19.25
"Jan 1, 1897",17.03
"Jan 1, 1896",16.58
"Jan 1, 1895",16.51
"Jan 1, 1894",15.74
"Jan 1, 1893",17.65
"Jan 1, 1892",19.01
"Jan 1, 1891",15.43
"Jan 1, 1890",17.22
"Jan 1, 1889",15.81
"Jan 1, 1888",15.36
"Jan 1, 1887",17.52
"Jan 1, 1886",16.7
"Jan 1, 1885",13.13
"Jan 1, 1884",14.43
"Jan 1, 1883",15.27
"Jan 1, 1882",15.68
"Jan 1, 1881",18.47
"Jan 1, 1880",14.87
"Jan 1, 1879",12.87
"Jan 1, 1878",10.57
"Jan 1, 1877",9.52
"Jan 1, 1876",11.79
"Jan 1, 1875",11.41
"Jan 1, 1874",11.33
"Jan 1, 1873",12.25
"Jan 1, 1872",11.9
